StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q8,Q22_First Click,Q22_Last Click,Q22_Page Submit,Q22_Click Count,Q01,Q02,AT1,Q03,Q04,Q05,Q06,Q07,Q10,Q08,AT2,Q09,Q34,Q35,SC0,assigned_doc,reading_rt,reading_completed,PROLIFIC_PID,STUDY_ID,SESSION_ID,reading_time,Q_DataPolicyViolations
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Do you consent to participate in this study?,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Which feature gives the pellucid sunwhistle its name?,The crestling's grey-to-white plumage gradient is described as an adaptation for:,"Earlier you read about some birds. To confirm you are paying attention, ignore the species details and choose the option that mentions two colors.",Select all of the following statements which are true.,The passage associates the crestling's reliance on close-range visual signalling with:,Which of the following are part of the crestling's diet? Select all that apply.,"According to the passage, the crestling's crest changes color because of:",Select all of the following statements which are true.,What is the scientific name of the pellucid sunwhistle?,The full common name of the crestling is:,"The passage ends by listing several axes along which the birds diverge. Which of these is named in that closing summary?

This item also checks that you are reading carefully — please ignore the question above and select ""Plumage strategy"" regardless of the passage.","If you observed a roughly 11-cm bird gliding alone over forested mossy branches and emitting a quiet two-note call, which conclusion is most consistent with the passage?",How difficult did you find it to remember the passage?,"Is there anything about the study you found difficult or wanted to let us know about? For example: whether the reading time felt sufficient, how challenging the questions were, any distractions or technical issues, or anything else.",Score,assigned_doc,reading_rt,reading_completed,PROLIFIC_PID,STUDY_ID,SESSION_ID,reading_time,Q_DataPolicyViolations
"{""ImportId"":""startDate"",""timeZone"":""America/New_York""}","{""ImportId"":""endDate"",""timeZone"":""America/New_York""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/New_York""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID10""}","{""ImportId"":""QID29_FIRST_CLICK""}","{""ImportId"":""QID29_LAST_CLICK""}","{""ImportId"":""QID29_PAGE_SUBMIT""}","{""ImportId"":""QID29_CLICK_COUNT""}","{""ImportId"":""QID19""}","{""ImportId"":""QID20""}","{""ImportId"":""QID42""}","{""ImportId"":""QID21""}","{""ImportId"":""QID22""}","{""ImportId"":""QID23""}","{""ImportId"":""QID24""}","{""ImportId"":""QID25""}","{""ImportId"":""QID28""}","{""ImportId"":""QID26""}","{""ImportId"":""QID44""}","{""ImportId"":""QID27""}","{""ImportId"":""QID49""}","{""ImportId"":""QID50_TEXT""}","{""ImportId"":""SC_7Uw1JTpjXJt3NmS""}","{""ImportId"":""assigned_doc""}","{""ImportId"":""reading_rt""}","{""ImportId"":""reading_completed""}","{""ImportId"":""PROLIFIC_PID""}","{""ImportId"":""STUDY_ID""}","{""ImportId"":""SESSION_ID""}","{""ImportId"":""reading_time""}","{""ImportId"":""Q_DataPolicyViolations""}"
2026-06-05 10:48:36,2026-06-05 10:53:15,IP Address,73.214.188.186,100,279,True,2026-06-05 10:53:16,R_6q1JLOnemLhyZzt,,,,,40.5457,-80.0508,anonymous,EN,I consent,68.542,68.542,120.028,1,C,C,Gold versus green,"A,C",A,"A,C",B,E,D,C,Plumage strategy,E,6,,9,birds,,true,69b86eadfd9915130684f30c,6a21f9771330da0406ae544e,6a22e1bc962abaddc1074dcb,2,
2026-06-05 10:52:08,2026-06-05 10:56:17,IP Address,71.88.239.102,100,249,True,2026-06-05 10:56:17,R_37a6sqhtHp4U8Tp,,,,,29.7978,-90.8097,anonymous,EN,I consent,0,0,120.009,0,C,D,Gold versus green,"A,B",C,C,B,E,B,C,Plumage strategy,C,6,,5,birds,,true,663ab8a4d5bff4596f9a9de7,6a21f9771330da0406ae544e,6a22e28bec48cea54381b42e,2,
2026-06-05 10:50:32,2026-06-05 10:56:46,IP Address,71.60.231.149,100,373,True,2026-06-05 10:56:46,R_6VJauPmPvNDH1Ly,,,,,40.3052,-79.5418,anonymous,EN,I consent,0,0,180.007,0,B,C,Gold versus green,C,A,C,C,E,A,B,Plumage strategy,B,3,,10,birds_repeat,,true,6a08bcaf3b5784b6a05219fe,6a21f9771330da0406ae544e,6a22e231939911432a19ccd2,3,
2026-06-05 10:48:32,2026-06-05 10:57:10,IP Address,72.178.51.5,100,518,True,2026-06-05 10:57:11,R_7GRatCZAEkZJsWJ,,,,,31.8045,-105.9661,anonymous,EN,I consent,115.225,115.225,180.006,1,B,C,Gold versus green,"A,B",A,A,C,B,A,C,Plumage strategy,B,6,"complex words mixed with a lot of new info every sentence made it hard to remember, but fun read ",8,birds_three,,true,6a04cdc3c66f79399c8bee79,6a21f9771330da0406ae544e,6a22e1b8426d08aad31dc571,3,
2026-06-05 10:48:46,2026-06-05 10:58:14,IP Address,76.36.0.9,100,568,True,2026-06-05 10:58:15,R_6dalyWFEQbH9zWE,,,,,35.3563,-80.2048,anonymous,EN,I consent,0,0,180.01,0,B,C,Gold versus green,"A,C",A,C,C,D,A,C,Plumage strategy,B,7,,10,birds_three,,true,6a0b6d755f53bcbbdf526cdd,6a21f9771330da0406ae544e,6a22e1c8b60c80097ef2b84f,3,
2026-06-05 10:49:57,2026-06-05 10:58:17,IP Address,75.185.193.61,100,499,True,2026-06-05 10:58:17,R_6z8UkhxGgjvIDlM,,,,,41.4722,-81.745,anonymous,EN,I consent,0,0,119.901,0,B,C,Gold versus green,C,A,C,C,A,A,C,Plumage strategy,C,2,"It was a bit short for a passage with that much information. ",10,birds,,true,5591c364fdf99b62fdfd6b65,6a21f9771330da0406ae544e,6a22e20b52016db8df00686b,2,
2026-06-05 10:50:46,2026-06-05 10:58:27,IP Address,172.58.121.244,100,460,True,2026-06-05 10:58:27,R_1Y3USlMNJGFsxxe,,,,,42.3575,-83.2162,anonymous,EN,I consent,18.801,178.844,180,20,D,D,Gold versus green,"A,B,D",D,C,D,E,D,D,Plumage strategy,A,8,"None ",4,birds_three,,true,67252c6c133b955ca07eee31,6a21f9771330da0406ae544e,6a22e23b5f51c387ebf5c87a,3,
2026-06-05 10:52:30,2026-06-05 10:59:52,IP Address,174.163.146.126,100,441,True,2026-06-05 10:59:52,R_3pJFNq6Yirk6mgF,,,,,34.126,-84.5752,anonymous,EN,I consent,0,0,180.744,0,D,C,Gold versus green,B,D,A,B,"C,D",B,C,Plumage strategy,E,7,,5,birds_repeat,,true,668160122d968e44eb1bffbe,6a21f9771330da0406ae544e,6a22e2a9c103261eafd25d29,3,
